"Pesquisador_Responsável","Pesquisadores_Associados","Pesquisadores_Principais","Cidade","Instituições_no_Exterior","Área_do_Conhecimento","Data_de_Início","Data_de_Término"
"Ana Flávia Pattaro","André Luiz Jardini Munhoz - Juliana Otavia Bahú - Maria Ingrid Rocha Barbosa Schiavon - Paulo Kharmandayan - Rubens Maciel Filho - Viktor Oswaldo Cardenas Concha","","Campinas","","Engenharia Química","2/1/2023","10/31/2023"
"Mylene Cristina Alves Ferreira Rezende","Caio Gomide Otoni - Isabel Duarte Coutinho - Luiz Antonio Dutra - Rodrigo Alvarenga Rezende","","Araraquara","","","2/1/2023","1/31/2024"
"Marina Geraldo Belintani","","","Matão","","Engenharia de Materiais e Metalúrgica","2/1/2023","1/31/2024"
"Marcia Ferraresi de Araujo","","","São Paulo","","Saúde Coletiva","2/1/2023","1/31/2024"
"Jéssica Caixeta Rodrigues","","","Jaboticabal","","Agronomia","2/1/2023","1/31/2024"
"Iury Cleveston","Alana de Santana Correia","","Campinas","","Ciência da Computação","2/1/2023","1/31/2024"
"Lilian Cherubin Correia","Alberto Jose Cavalheiro - Ricardo Ribeiro Rodrigues","","Araraquara","","Química","2/1/2023","10/31/2023"
"Gabriele Lopes Claudino","Gustavo Henrique de Oliveira Cornélio","","Jacareí","","","2/1/2023","1/31/2024"
"Newton Carvalho César de San Juan","","","São José dos Campos","","Ciência da Computação","2/1/2023","1/31/2024"
"Vilma Regina Martins","Rachel Simões Pimenta Riechelmann - Samuel Aguiar Junior - Tiago Góss dos Santos","Luciana Harumi Osaki","São Paulo","","Medicina","2/1/2023","10/31/2023"
"Paulo Cesar Ribeiro Quintairos","","","Taubaté","","Educação","2/1/2023","1/31/2024"
"Allef Soares Fante","Bruna Favotto do Rosário - Fernando Luís Soares Pereira - Humberto Gomes Ferraz","","São Paulo","","Farmácia","2/1/2023","1/31/2024"
"Bruno Deltreggia Benites","","","Sorocaba","","Saúde Coletiva","2/1/2023","1/31/2024"
"Paula Speranza","Cristiane Conte Paim de Andrade","","Campinas","","Ciência e Tecnologia de Alimentos","1/1/2023","9/30/2023"
"Paulo César Goulart de Miranda","Fernanda Massaro Leonardis - Flávia Bittencourt Moré - Vítor Fonseca Loures","","São José dos Campos","","Ciência da Computação","1/1/2023","11/30/2023"
"Jaqueline Carmo da Silva","","Caroline Schmitz","Sorocaba","","Microbiologia","1/1/2023","9/30/2023"
"Iago Breno Alves do Carmo Araujo","Eva Jussara Carvalho Furtado - Jose Luiz Maciel Pimenta","","São Paulo","","Ciência da Computação","1/1/2023","9/30/2023"
"Tiago Jose de Carvalho","Fernanda Kristina da Costa Balieiro - Mariane Aparecida Miranda - Ricardo Barz Sovat","","Campinas","","Ciência da Computação","1/1/2023","1/31/2024"
"Jhonatan Miguel Silva","","","Araraquara","","Farmácia","1/1/2023","12/31/2023"
"Diogo Ponte Lauda","","Karen Julie Santos Grancianinov Costa","São José dos Campos","","Engenharia Biomédica","12/1/2022","11/30/2023"
"Gustavo Rossini Schio","","","Campinas","","Engenharia Elétrica","12/1/2022","11/30/2023"
"Ricardo Luiz Soeltl","Daniel Musulin Soeltl - Denis Renato da Costa","","Campinas","","Engenharia de Transportes","12/1/2022","11/30/2023"
"Camila Roberto","","","Taubaté","","","12/1/2022","11/30/2023"
"Carolina Cesarino Coutinho","Eric Cristiano de Souza Luque - Fernando Henrique Pimenta de Moura - Rebeca Garcia Lemes","Diego Rafael Lucio","Vinhedo","","Medicina Veterinária","12/1/2022","11/30/2024"
"Felipe Pereira de Almeida Cohen","","","São Paulo","","Recursos Pesqueiros e Engenharia de Pesca","12/1/2022","11/30/2023"
"Cristiano Ceron Jayme","","","Ribeirão Preto","","","12/1/2022","11/30/2023"
"Wokimar Teixeira Garcia","","Jaime Finguerut, Joaquim Henrique da Cunha Filho, Sergio Suzuki","Piracicaba","","","12/1/2022","11/30/2023"
"Paulo Roberto Nascimento Pinheiro","Clécio Fischer - Éder Alves de Moura - Roberto Gil Annes da Silva","","São José dos Campos","","Engenharia Aeroespacial","12/1/2022","11/30/2024"
"Fabio Pomes Salles da Silva","Ari Nelson Rodrigues Costa","Andre Sernaglia Cerdeira, Antonio Carlos Dantas Cabral","São Paulo","","Engenharia Biomédica","12/1/2022","11/30/2024"
"Sergio Luiz Dulcini","Ivan Luiz de Oliveira Perazzoli","","São Carlos","","Engenharia Mecânica","12/1/2022","11/30/2023"
"Leonardo Bruno Renzo Milani","Jarbas Caiado de Castro Neto - Samuel de Paula - Yuri Sarreta Oda","","São Carlos","","Engenharia Agrícola","12/1/2022","10/31/2023"
"Claudio Crivellaro","","","São Paulo","","Engenharia Elétrica","12/1/2022","6/30/2023"
"Viny Cesar Pereira","","","São José dos Campos","","Engenharia Mecânica","12/1/2022","11/30/2023"
"Israel Barreira Motta","","Fabio Eduardo Zanini","São Paulo","","","12/1/2022","11/30/2023"
"Daniel Mendes Adelino","","Antonio Celso Santana","Campinas","","Engenharia Elétrica","12/1/2022","11/30/2023"
"Aline Tramontini dos Santos","David José Miquelluti - Leonardo Josoé Biffi - Rennan Andres Paloschi - Vitor Augusto Ozaki","Daniel Lima Miquelluti","Piracicaba","","","12/1/2022","11/30/2024"
"Paula Decot Galgano","","","São José dos Campos","","Química","12/1/2022","12/31/2023"
"Ana Carolina Nazaré","","","Araraquara","","Química","12/1/2022","11/30/2024"
"Daniela Morilha Néo Justino","","Andrea Soares da Costa Fuentes","São Carlos","","Bioquímica","12/1/2022","10/31/2023"
"Luís Filipe Saba Laranjeira da França Barboza","","","São Paulo","","Medicina","12/1/2022","11/30/2023"
"Matheus Confessor Castilho Fernandes","Rafael Giuliano Pileggi","Victor Keniti Sakano","São Paulo","","Engenharia Civil","12/1/2022","11/30/2023"
"Rommel Soares de Araújo","","","Taubaté","","Saúde Coletiva","12/1/2022","11/30/2023"
"Karen Elizabeth Adarme Galvão","Veridiana Vera de Rosso","","Campinas","","Ciência e Tecnologia de Alimentos","11/1/2022","7/31/2023"
"Ricardo Beolchi de Souza Lima","Clarissa Hamaio Okino Delgado","","Guzolândia","","Agronomia","11/1/2022","7/31/2023"
"Viviane Teixeira Loiola de Alencar","","","São José dos Campos","","Medicina","11/1/2022","7/31/2023"
"Fabiane de Souza Costa","Wignez Henrique","","São Carlos","","Zootecnia","11/1/2022","10/31/2024"
"Thiago Martimiano do Prado","Matias Eliseo Melendez - Ronaldo Censi Faria","","São Carlos","","Química","11/1/2022","7/31/2023"
"Noreyni Christophe Grego Ndiaye","Danielle Maass","","São Paulo","","Recursos Pesqueiros e Engenharia de Pesca","11/1/2022","9/30/2023"
"Raphael Gomes Scavone","Hernán Cortés Gómez - Jorge Gabriel dos Santos Batista","","Jundiaí","","Medicina","11/1/2022","2/29/2024"
"Raquel Zaneti Puelker","Sarah Gomes Nunes","Anthony César de Souza Castilho","Presidente Prudente","","Medicina Veterinária","11/1/2022","11/30/2023"
"Thiers Massami Uehara","Daniel Souza Corrêa","","São Carlos","","Engenharia de Materiais e Metalúrgica","11/1/2022","10/31/2024"
"Ana Carolina Rodrigues Montes","Luis Alexandre Pedro de Freitas - Luís Victor Dantas de Freitas","","Ribeirão Preto","","Engenharia Química","11/1/2022","10/31/2024"
"Eloisa Fornaro Clemente","Bruna Cavecci Mendonça - João Pessoa Araújo Junior - Lucilene Delazari dos Santos - Ricardo de Oliveira Orsi - Valber de Albuquerque Pedrosa","","Botucatu","","Medicina","11/1/2022","10/31/2024"
"Raul Julian Revelo Tobar","","Diogo Puppim de Oliveira","São Carlos","","","11/1/2022","4/30/2023"
"Cássio Ribeiro Ramos","","Jansen de Araujo","São Paulo","","Recursos Pesqueiros e Engenharia de Pesca","10/1/2022","9/30/2024"
"Diego Moure Oliveira","Andresa Aparecida Berretta e Silva - Carlos Pamplona Rehder - Jorge Luis Silva Kavicki","Guilherme Jorge Gomes de Sousa, Joyce Mayra Volpini Almeida Dias","Ribeirão Preto","","Agronomia","10/1/2022","9/30/2024"
"Henrique Coutinho Junqueira Franco","","","Campinas","","Agronomia","10/1/2022","9/30/2024"
"Marouan Bouali","Carolline Tressmann Cairo - Diego Xavier Bezerra","","Taubaté","","Geociências","10/1/2022","6/30/2023"
"Leandro Silva Pereira","","","Campinas","","Engenharia Elétrica","10/1/2022","5/31/2024"
"Elenise Bannwart de Moraes Torres","","Carlos Eduardo Vaz Rossell, Daniel Ibraim Pires Atala","Campinas","","Engenharia Química","10/1/2022","6/30/2023"
"Daniel Silva Antonelo","Christina Ramires Ferreira - Júlio Cesar de Carvalho Balieiro","","Pirassununga","","Ciência e Tecnologia de Alimentos","10/1/2022","6/30/2023"
"Daniella Castro Araujo","","","São Paulo","","Ciência da Computação","10/1/2022","6/30/2023"
"Rafael Gonsales Neto","Celso da Costa Carrer - Luis H. R. Cisterna","","Pirassununga","","","9/1/2022","5/31/2023"
"Andre Luiz Rocha D. Oliveira","","","São José dos Campos","","Engenharia Mecânica","9/1/2022","7/31/2023"
"Jose Luis Davila Sanchez","","","Campinas","","Engenharia Mecânica","9/1/2022","5/31/2023"
"Milena Trevisan Pelegrino","Lucas Ariel Fernandes da Rocha - Vinicius Ramos Henriques Maracajá Coutinho","","São Paulo","","Biologia Geral","9/1/2022","9/30/2024"
"Nathalia Cristina Rissi","","","São Carlos","","Farmácia","9/1/2022","7/31/2023"
"Mário César Souza e Silva","","","Ribeirão Preto","","Engenharia Química","9/1/2022","9/30/2023"
"Roseane Jamile Lopes Ramos","Ivan Nevado - Lilian Berton - Marcelo da Silva Reis - Pedro Augusto Palhares Braga","Didier Augusto Vega Oliveros","São Paulo","","Ciência da Computação","9/1/2022","5/31/2023"
"Catarina Cardoso Reis","","","São José dos Campos","","Engenharia Biomédica","9/1/2022","8/31/2024"
"Minos Esperândio Carvalho","","","Piracicaba","","Zootecnia","9/1/2022","8/31/2024"
"Maicon Segalla Petrônio","","","Araraquara","","Agronomia","9/1/2022","5/31/2023"
"Tiago Milanin","Antonio Augusto Mendes Maia - Heidge Fukumasu - Marcia Ramos Monteiro da Silva - Mirele Daiana Poleti - Ricardo Luiz Moro de Sousa","","Pirassununga","","Medicina Veterinária","9/1/2022","5/31/2023"
"Luiz Augusto Toledo Machado","Joaquim Henrique da Cunha Filho","","São José dos Campos","","Agronomia","9/1/2022","8/31/2024"
"Érico Teixeira Neto","","","São Paulo","","Química","9/1/2022","8/31/2024"
"Marcos Vinicius Rayol Sobreiro","Alessandro Rodolpho Gonçalves da silva - Alex Lopes de Oliveira - Henrique Ulisses Teixeira Caldas - João Paulo Luiz Crispim - Ligia Fagundes - Marcela Fernandes Silva de Sousa - Pedro Riviere Torrado","Guilherme Augusto Almeida Lima de Figueiredo","São Paulo","","Engenharia Elétrica","9/1/2022","8/31/2024"
"Débora Cristina Alavarce","Carlos Fernando Collares - Eduardo Charles Vasconcellos - José Lúcio Martins Machado - Kristian Spoerer","Reinaldo Roberto Rosa","São José dos Campos","","","9/1/2022","12/31/2024"
"Rafael Nunes Segantine","","Ingrid Johana Mesa Fonseca, Jose Lavaquial Biosca Neto","Campinas","","Engenharia Mecânica","8/1/2022","4/30/2023"
"Luis Henrique Guilherme","Cecilio Sadao Fugivara - Peter Hammer","Assis Vicente Benedetti","Araraquara","","Engenharia de Materiais e Metalúrgica","8/1/2022","4/30/2023"
"Haroldo da Gama Torres","André Luiz Toyama Carneiro","","São Paulo","","Medicina","8/1/2022","7/31/2024"
"Luiz Ricardo Gonçalves","","Márcia Mariza Gomes Jusi","Jaboticabal","","Medicina Veterinária","8/1/2022","7/31/2024"
"Andréa Cristina Basso","","","Barretos","","Biologia Geral","8/1/2022","4/30/2023"
"Thiago Aguiar Cacuro","","Felipe José de Moraes Pedrazzi","Sorocaba","","Engenharia Sanitária","8/1/2022","7/31/2024"
"Regina Lucia Batista da Costa de Oliveira","Daniela Leite Jabes - Fabiano Bezerra Menegidio - Rene Aduan Junior","","Mogi das Cruzes","","Microbiologia","8/1/2022","4/30/2023"
"Natália Aurora dos Santos","","Ellen de Oliveira Goiano, Maria Elizete Kunkel","São Paulo","","Engenharia Biomédica","8/1/2022","11/30/2024"
"Clarissa Hamaio Okino Delgado","","Débora Zanoni Do Prado","Piracicaba","","Recursos Florestais e Engenharia Florestal","8/1/2022","4/30/2023"
"Juliana Massimino Feres","Paulo Renato Matos Lopes","","São Carlos","","Ciência e Tecnologia de Alimentos","8/1/2022","7/31/2024"
"Nilsa Sumie Yamashita Wadt","Edgar Matias Bach Hi - Erna Elisabeth Bach","Danilo Wadt","Valinhos","","Farmácia","8/1/2022","4/30/2023"
"Carla Souza","Adriana Oliveira Manfiolli - Carolina Caliári Oliveira - Nayara Cristina Perez de Albuquerque","Osvaldo de Freitas","Ribeirão Preto","","Farmácia","8/1/2022","12/31/2024"
"Diogo Maciel de Magalhães","Maria Carolina Quecine Verdi - Sérgio Florentino Pascholati","","Piracicaba","","Agronomia","7/1/2022","8/31/2024"
"Valdinéia Cecília da Silva","","","Iperó","","Biologia Geral","7/1/2022","3/31/2023"
"Fernando Galembeck","Eduardo Galembeck - Thais Helena Morari","Leandra Pereira dos Santos","Campinas","","Química","7/1/2022","12/31/2023"
"Marzieh Kadivar","Christian Gauss - Holmer Savastano Junior - Mehdi Kadivar","","Pirassununga","","Engenharia de Materiais e Metalúrgica","7/1/2022","6/30/2024"
"Daniel Lima Miquelluti","Fabio Ricardo Marin - Humberto Francisco Silva Spolador - Jerry Adriani Johann - Rafael de Andrade Moral - Vitor Augusto Ozaki","Luis Henrique Andia","Piracicaba","","","7/1/2022","6/30/2024"
"Camila Neves Lange","","Hebert Silveira","Santo André","","Zootecnia","7/1/2022","6/30/2024"
"Arthur Casulli de Oliveira","Luiz Augusto Bovolenta - Tiago do Amaral Moraes","Karina Gabriele Alves Dias","São Paulo","","Biologia Geral","7/1/2022","3/31/2023"
"Alexandre Kuroda","","Gustavo Henrique Montesião de Sousa, Isadora de Moura Tebaldi, Joao Augusto Koritar Leite, João Oscar Mesquita Silva Oda, LEONARDO RUDOLFO CARDOSO, Lucas Ambrozin Gallo, Pedro Gabriel Martins Ono, Thomas Yulki Takeuchi","São Paulo","","Arquitetura e Urbanismo","7/1/2022","12/31/2023"
"Claudio Luis Cruz de Oliveira","Carolina Toledo Ferraz - Cassia Aparecida Pizani - KELLEN DAYELLE ENDLER","","São Paulo","","Administração","7/1/2022","12/31/2023"
"Joyce Mayra Volpini Almeida Dias","Andresa Aparecida Berretta e Silva - Carlos Pamplona Rehder - Diego Moure Oliveira","","Ribeirão Preto","","Zootecnia","7/1/2022","12/31/2023"
"Douglas Borges Domingos","Luis Felipe Liambos Mura - Rafael Oliveira Rondon Muniz","Arlindo Gilson Mendonça, Gabriel Angelo","São Paulo","","Engenharia Nuclear","7/1/2022","12/31/2023"
"Admilson Marin","","","São Paulo","","Fisioterapia e Terapia Ocupacional","7/1/2022","6/30/2024"
"Francisco de Paula Pinheiro","Bruno Fernando Gianelli","Vagner Romito de Mendonça","Sorocaba","","Engenharia Mecânica","7/1/2022","3/31/2023"
"Marino Arpino","","Daniel Igor Mendoza Quinones","Santo André","","Engenharia Mecânica","7/1/2022","6/30/2024"
"Paulo Roberto Cortez","Cecília Cardoso Teixeira de Almeida - Rogério Gonçalves Guimarães","Heber Jefferson Sultanum","São Paulo","","","7/1/2022","3/31/2023"
"Marcelo Machado Leão","","","Piracicaba","","Recursos Florestais e Engenharia Florestal","7/1/2022","12/31/2023"
"André Batista Nobile","Claudio de Oliveira","Felipe Pontieri de Lima","Botucatu","","Recursos Pesqueiros e Engenharia de Pesca","7/1/2022","3/31/2023"
"Dayse Alexia de Carvalho de Brito","Debora Alves Nunes Leite Lima - Gislaine Ricci Leonardi - Juliano Lemos Bicas - Julliana Andrade da Silva","","Campinas","","Farmácia","7/1/2022","5/31/2023"
"Cláudio Gurgel Pinheiro","Dandara Thamilys Guedes de Andrade - Youri Eliphas de Almeida","","Campinas","","Engenharia Elétrica","7/1/2022","12/31/2023"
"Carla Zeltzer","Jéssica Soares dos Santos - Sidney Araujo Melo","","Rio de Janeiro","","Ciência da Computação","7/1/2022","3/31/2024"
"Jonny Francisco Ros de Almeida","Cledson Akio Sakurai - Lígia Ferreira Gomes","","São Paulo","","Biofísica","7/1/2022","12/31/2023"
"Antonio Condino Neto","","Edgar Borges de Oliveira Junior","São Paulo","","Medicina","7/1/2022","12/31/2023"
"Sergio de Andrade Coutinho Filho","Adriano Alves de Andrade","","Indaiatuba","","Engenharia Agrícola","7/1/2022","12/31/2023"
"Sérgio Marques de Souza","","","São Paulo","","Ecologia","7/1/2022","3/31/2023"
"Tácito Mistrorigo de Almeida","Geraldo Lorenzi Filho","","São Paulo","","Medicina","7/1/2022","6/30/2023"
"Jaime Ijichi Machado","Dennis Travagini Cremonese","","São Paulo","","Engenharia de Minas","7/1/2022","1/31/2024"
"Alberto O' Farrill Vannini Pessina","Vitor Augusto Ozaki","Marco Antonio Alvares Balsalobre","Vinhedo","","Zootecnia","7/1/2022","5/31/2024"
"Jacqueline Mendonça Lopes de Faria","","","Campinas","","Medicina","6/1/2022","4/30/2023"
"João Marcelo Robazzi Bignelli Valente Aguiar","Maria Imaculada Zucchi","","Piracicaba","","Zoologia","6/1/2022","2/28/2023"
"Miriam Sanz Roldán","Ernani Pinto Junior - Roberto Kopke Salinas","Mariah de Almeida Ultramari","São Paulo","","Farmácia","6/1/2022","2/28/2023"
"Sandra Aparecida Drigo Linde","Luiz Paulo Kowalski - Silvia Regina Rogatto","Carlos Eduardo Frigério Domingues, Catherine Elisabeth Marie David","Botucatu","","Medicina","6/1/2022","4/30/2024"
"Matheus Nani Costa","","Sidnei Araujo Junior","São Paulo","","Ciência da Computação","6/1/2022","2/28/2023"
"Adriana Oliveira Manfiolli","Carolina Caliári Oliveira","","Ribeirão Preto","","Medicina","5/1/2022","4/30/2024"
"Lázaro Pinto Medeiros Neto","Felipe Bachion de Santana - Gustavo Carlos da Silva - Lívia Assis Garcia - Priscila Pereira Fávero","Airton Abrahao Martin","São José dos Campos","","Engenharia Biomédica","5/1/2022","4/30/2024"
"Bruno Sergio Ferreira Massa","Fernando Antonios Maman - Roberto Marcondes Cesar Junior","Bruno Sergio Ferreira Massa","São Paulo","","Ciência da Computação","5/1/2022","4/30/2024"
"Marcos Batista Garcia","","","São Bernardo do Campo","","Engenharia de Materiais e Metalúrgica","5/1/2022","1/31/2023"
"Jonas Fontes Garcia","","","Campinas","","Física","5/1/2022","1/31/2023"
"Raphael Augusto Fagliari","Aline Chitero Bueno Fagliari - Anderson Luiz dos Santos Safre","Geraldo Francisco Donegá Zafalon, Matheus Carreira Andrade","São José do Rio Preto","","Engenharia Sanitária","5/1/2022","5/31/2024"
"Diogo Garcia Cunha","Ricardo Scucuglia Rodrigues da Silva","","São José do Rio Preto","","Educação","5/1/2022","4/30/2024"
"Thais Carvalho Brito Oliveira","","","Ribeirão Preto","","Ciência e Tecnologia de Alimentos","5/1/2022","1/31/2023"
"Pedro Henrique Camargo Penna","Claudio Miguel da Costa Neto","","São Caetano do Sul","","Farmacologia","5/1/2022","10/31/2024"
"Thomas Christian Marcel Martin","Edson Luiz Shoitchi Yatabe Barbosa - Eduardo Bezerra da Silva - Gabriel Martins Palma Perez - Humberto Ribeiro da Rocha - José Fernando e Toledo","","São Paulo","","Geociências","5/1/2022","4/30/2024"
"Rodrigo Frassetto Nogueira","Fábio Capuano de Souza - José Ramon Trindade Pires","","Campinas","","Engenharia Elétrica","5/1/2022","4/30/2024"
"Moacir Messias de Araujo Junior","","Valéria Del Nery","São Carlos","","Engenharia Sanitária","4/1/2022","9/30/2024"
"Marcos Roberto Fortulan","Francisco Júlio do Nascimento","Marcel Cavallini Barbosa","São Carlos","","Engenharia Elétrica","4/1/2022","12/31/2022"
"Laerte Jeronimo de Oliveira","Alan Zanoni Peixinho - Caio Souza da Silva - Guilherme de Oliveira - Rafaela Adle Gomes da Silva - Sidney Tobias de Souza","Sergio Duarte Penna","São José dos Campos","","Arquitetura e Urbanismo","4/1/2022","3/31/2024"
